Feature ID,PMT1 leaf control,PMT1 leaf topped,PMT1 root control,PMT1 root topped,PMT2 leaf control,PMT2 leaf topped,PMT2 root control,PMT2 root topped,PMT3 leaf control,PMT3 leaf topped,PMT3 root control,PMT3 root topped,TN90 leaf control,TN90 leaf topped,TN90 root control,TN90 root topped,Swissprot,,Solyc,,GO ontology (biological process)
NITAB028008.1,0.1226,0.2050,2.6193,2.1241,0.0641,0.4322,0.7386,0.9387,0.2848,0.3651,1.4239,1.9312,0.1823,0.2461,2.8424,1.8715,Mitogen-activated protein kinase kinase kinase 17,sp|O80888|M3K17_ARATH,MAP kinase kinase kinase 21,Solyc02g090970.1.1,abscisic acid-activated signaling pathway [GO:0009738]; activation of protein kinase activity [GO:0032147]; response to abscisic acid [GO:0009737]; response to osmotic stress [GO:0006970]; signal transduction by protein phosphorylation [GO:0023014]; stress-activated protein kinase signaling cascade [GO:0031098]
NITAB028102.1,0.2329,0.3110,8.0267,12.7140,0.1941,0.3268,14.6661,16.1979,0.1422,0.0994,3.9226,7.5886,0.1487,0.2250,6.6992,13.7793,Premnaspirodiene oxygenase,sp|A6YIH8|C7D55_HYOMU,Cytochrome P450 ,Solyc02g082070.3.1,0
NITAB028109.1,4.9990,4.7246,29.0178,37.2068,5.7526,7.7946,43.6584,60.5456,6.2085,4.1940,15.4531,26.8886,4.9899,4.2955,24.9748,63.6491,#N/A,#N/A,PPPDE putative thiol peptidase family protein ,Solyc02g082060.2.1,#N/A
NITAB028110.1,1.7791,1.8277,20.4244,28.3867,2.2721,2.5693,31.8100,37.4331,2.1116,1.5376,11.5166,18.5994,1.7631,1.7064,17.4993,41.5942,TMV resistance protein N,sp|Q40392|TMVRN_NICGU,disease resistance protein ,Solyc02g082050.3.1,plant-type hypersensitive response [GO:0009626]; signal transduction [GO:0007165]
NITAB028166.1,0.0551,0.0405,3.8200,5.7806,0.1112,0.0342,7.9069,5.4904,0.0859,0.0244,3.3025,2.6265,0.0259,0.0400,2.8985,6.1040,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB028199.1,0.9068,1.2244,6.4437,7.7724,1.5120,1.5788,5.7808,5.5190,0.7129,1.1586,6.9838,5.3250,1.0748,1.8465,6.2129,5.3609,Pathogenesis-related protein 5,sp|P28493|PR5_ARATH,Pathogenesis-related thaumatin family protein ,Solyc02g083760.3.1,regulation of anthocyanin biosynthetic process [GO:0031540]; response to cadmium ion [GO:0046686]; response to UV-B [GO:0010224]; response to virus [GO:0009615]; systemic acquired resistance [GO:0009627]
NITAB028223.1,0.0000,0.0066,0.6685,3.2566,0.0135,0.0045,1.0320,3.9818,0.0012,0.0000,0.3466,2.2289,0.0038,0.0000,0.8246,2.4141,Probable apyrase 1,sp|Q8H7L6|APY1_ORYSJ,Apyrase ,Solyc02g032550.2.1,0
NITAB028253.1,1.6364,3.1229,2.6188,0.6002,0.8881,0.6439,0.5012,7.4737,7.5381,8.8345,4.1658,2.8756,27.2610,0.9182,0.7927,7.1639,18.2 kDa class I heat shock protein,sp|P27880|HSP12_MEDSA,class I small heat shock protein,Solyc06g076570.3.1,0
NITAB028406.1,1.5503,1.3884,7.0354,5.4510,1.4927,1.5394,5.0855,4.2118,2.7178,2.3716,7.8714,6.0226,2.8489,1.0307,9.0720,5.4556,#N/A,#N/A,Transducin/WD40 repeat protein ,Solyc02g082690.3.1,#N/A
NITAB028417.1,0.3235,0.2715,0.7101,1.0355,0.7463,0.8024,3.5048,3.1829,1.0038,1.0242,1.5453,2.9179,1.2585,0.4513,2.7404,3.9890,#N/A,#N/A,FACT complex subunit SPT16 ,Solyc02g081590.3.1,#N/A
NITAB028420.1,31.0082,6.4427,2.0933,0.9681,17.6233,14.0669,1.1893,1.2479,23.4527,40.9153,2.8659,1.0810,57.7549,7.0221,5.5057,2.1309,ATP-dependent zinc metalloprotease FtsH,sp|O78516|FTSH_GUITH,LeftsH6FtsH protease,Solyc02g081550.3.1,protein catabolic process [GO:0030163]
NITAB028452.1,1.5934,2.4483,11.3412,12.4678,3.4758,3.1001,28.7663,12.0928,2.8364,2.4676,9.2990,11.7845,2.5283,2.5701,6.7631,15.8004,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB028521.1,5.9789,6.6982,9.3141,11.1731,4.8024,5.0547,6.7801,5.3951,9.0988,5.6786,12.3784,11.2212,10.7723,0.9576,12.5896,8.1147,Serine/threonine-protein kinase SRK2A,sp|P43291|SRK2A_ARATH,Kinase family protein ,Solyc02g090390.3.1,intracellular signal transduction [GO:0035556]; protein phosphorylation [GO:0006468]
NITAB028560.1,0.0223,0.0360,5.8871,10.6703,0.0596,0.0233,7.6752,8.5159,0.0204,0.0083,5.0613,6.6490,0.0174,0.0286,3.7128,7.5377,Protein IRX15-LIKE,sp|Q9FH92|IX15L_ARATH,glucuronoxylan 4-O-methyltransferase-like protein ,Solyc02g093090.1.1,plant-type secondary cell wall biogenesis [GO:0009834]; xylan biosynthetic process [GO:0045492]; xylan metabolic process [GO:0045491]
NITAB028644.1,0.5463,0.4108,27.0580,12.0947,0.5765,0.4837,16.0305,9.4326,1.0839,1.1463,35.0138,21.7681,1.0676,0.1822,30.6697,13.8736,Galactinol--sucrose galactosyltransferase,sp|Q8VWN6|RFS_PEA,Raffinose synthase family protein ,Solyc02g086530.3.1,carbohydrate metabolic process [GO:0005975]
NITAB028670.1,147.7056,218.3396,150.3304,171.3423,195.1142,169.2339,439.7886,196.3533,149.9363,154.7894,108.9480,110.8379,176.3948,186.7130,88.5334,231.5388,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB028741.1,4.1853,2.6805,16.1523,13.1427,3.7762,3.7861,14.2079,10.6079,5.4446,6.0199,15.3732,13.4746,6.0347,2.8507,13.9508,10.9674,#N/A,#N/A,Homeobox-leucine zipper protein family ,Solyc02g091930.3.1,#N/A
NITAB028818.1,0.0036,0.0162,1.5825,5.9636,0.0019,0.0045,0.9826,3.6753,0.0009,0.0140,0.4434,3.0310,0.0041,0.0058,1.1208,4.5482,Anthocyanin regulatory Lc protein,sp|P13526|ARLC_MAIZE,bHLH transcription factor 015,Solyc02g091810.2.1,0
NITAB028819.1,1.2157,1.8639,14.9137,15.4739,1.8156,2.0643,18.3801,19.9037,1.8470,1.4423,9.5161,23.4374,1.5542,1.9235,19.0985,20.8646,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB028848.1,0.0602,0.0727,4.2576,15.7483,0.0625,0.0564,10.4933,19.4723,0.0648,0.0274,2.3064,11.3745,0.0322,0.0718,3.8756,14.7387,#N/A,#N/A,basic helix-loop-helix ,Solyc02g091800.3.1,#N/A
NITAB028980.1,0.1393,0.0715,2.6855,5.5980,0.0927,0.1234,3.6062,4.2955,0.1559,0.0914,2.0415,2.9514,0.1260,0.0691,1.6216,3.6119,#N/A,#N/A,Ribosomal protein S10p/S20e family protein ,Solyc11g069167.1.1,#N/A
NITAB028981.1,0.0415,0.0478,18.2705,35.6460,0.1364,0.0552,22.4570,25.9208,0.0408,0.0540,16.2387,17.2711,0.0674,0.0115,12.6181,24.0836,Mavicyanin,sp|P80728|MAVI_CUCPE,Blue copper protein ,Solyc02g094050.3.1,0
NITAB029067.1,0.1237,0.1293,3.8583,6.9255,0.2336,0.2365,4.2961,4.4524,0.1138,0.1016,3.8476,3.5524,0.0784,0.3580,2.5110,3.9505,Probable UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase SEC,sp|Q9M8Y0|SEC_ARATH,Protein KINESIN LIGHT CHAIN-RELATED 3 ,Solyc02g086840.3.1,multicellular organism development [GO:0007275]; protein O-linked glycosylation [GO:0006493]
NITAB029093.1,0.0417,0.0182,1.8272,2.4830,0.0518,0.0963,3.0326,4.0163,0.0350,0.0228,0.7335,1.5535,0.0000,0.0926,1.0916,3.9935,#N/A,#N/A,Pollen Ole e 1 allergen and extensin family protein ,Solyc02g089250.3.1,#N/A
NITAB029105.1,0.8174,0.7376,2.4649,5.2705,0.7330,0.8219,2.7498,6.1374,0.6224,0.6690,1.9134,3.7841,0.6468,0.8720,2.0119,4.5010,#N/A,#N/A,B12D ,Solyc02g087330.3.1,#N/A
NITAB029107.1,0.2904,0.1023,4.7014,7.9007,0.2588,0.3282,2.3604,4.7127,0.6680,0.3839,2.3085,3.7847,0.3394,0.0778,3.5112,6.2503,Probable galacturonosyltransferase-like 10,sp|Q9LHD2|GATLA_ARATH,Hexosyltransferase ,Solyc02g087350.2.1,cell wall organization [GO:0071555]; pectin biosynthetic process [GO:0045489]; response to oxidative stress [GO:0006979]
NITAB029134.1,0.6363,1.3612,1.5315,3.5080,0.9446,0.6841,5.8118,2.8377,0.7014,0.4641,1.3374,1.7975,0.8563,0.7387,0.8774,3.2074,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB029167.1,0.0267,0.0158,4.9385,7.7042,0.0331,0.0372,7.0639,9.6626,0.0227,0.0426,2.8911,4.8406,0.0135,0.0450,3.1152,5.9881,"Glucan endo-1,3-beta-glucosidase",sp|P52409|E13B_WHEAT,"Glucan endo-1,3-beta-glucosidase ",Solyc10g007510.2.1,carbohydrate metabolic process [GO:0005975]; defense response [GO:0006952]
NITAB029294.1,0.1860,0.2114,6.0418,9.8624,0.2297,0.3485,6.1611,7.7914,0.3580,0.3676,3.0661,6.7865,0.2687,0.3678,4.3065,10.0444,NDR1/HIN1-like protein 13,sp|Q9ZVD2|NHL13_ARATH,Late embryogenesis abundant ,Solyc02g036480.1.1,defense response to bacterium [GO:0042742]
NITAB029374.1,1.2420,1.8094,9.6791,26.0094,1.8830,1.8457,13.0395,31.0276,1.0668,1.3219,6.5400,18.3124,1.1901,1.9905,8.1524,23.6177,Pectinesterase/pectinesterase inhibitor,sp|P83947|PME1_FICPW,Pectinesterase ,Solyc02g080220.3.1,cell wall modification [GO:0042545]; pectin catabolic process [GO:0045490]
NITAB029391.1,0.0000,0.0000,1.2856,0.9657,0.0000,0.0000,0.4180,0.3116,0.0000,0.0000,0.1310,0.0000,0.0000,0.0000,0.0346,1.7562,#N/A,#N/A,RNI-like superfamily protein ,Solyc07g054340.1.1,#N/A
NITAB029393.1,0.3121,0.2638,4.4899,3.5068,0.3542,0.2966,3.5975,2.9529,0.3099,0.4094,4.8339,3.1900,0.4270,0.5278,4.8274,3.4156,#N/A,#N/A,Cotton fiber expressed protein ,Solyc02g079010.3.1,#N/A
NITAB029398.1,0.1568,0.1413,20.4816,35.1798,0.1945,0.1513,24.6215,28.8512,0.0944,0.1417,17.7149,18.8852,0.1482,0.2460,12.6949,24.8731,Rac-like GTP-binding protein RAC13,sp|Q41253|RAC13_GOSHI,Rac-like GTP binding protein ,Solyc02g077400.3.1,plant-type secondary cell wall biogenesis [GO:0009834]; secondary cell wall biogenesis involved in seed trichome differentiation [GO:0090379]; small GTPase mediated signal transduction [GO:0007264]
NITAB029402.1,0.0951,0.1217,2.9259,1.0283,0.1090,0.1482,0.7647,1.3402,0.0290,0.0756,1.8629,1.5444,0.0688,0.2245,3.9475,1.4341,#N/A,#N/A,F-box associated ubiquitination effector family protein ,Solyc02g078890.1.1,#N/A
NITAB029427.1,0.7718,0.7806,5.3587,8.0071,0.7655,0.7990,9.3601,8.8679,0.9917,0.6883,3.0099,4.5278,0.8516,0.6582,3.2531,7.0563,#N/A,#N/A,DNA-binding bromodomain-containing protein ,Solyc02g079780.1.1,#N/A
NITAB029483.1,0.0881,0.1750,2.3137,2.4843,0.3053,0.1070,2.6759,2.3712,0.0619,0.0781,2.7500,2.3089,0.1120,0.5502,1.1367,2.6998,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB029485.1,3.6693,24.3114,8.4783,11.7772,1.7151,2.3745,9.5671,12.0405,7.3109,2.7625,116.9570,19.6628,6.6160,6.6427,7.0173,19.6576,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB029678.1,1.4965,1.1942,10.3166,8.7027,1.3405,1.6133,11.3691,11.2609,2.1896,1.8985,6.4208,12.4615,2.1605,1.4301,13.0880,13.9654,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB029712.1,16.0363,1.8782,2.6230,1.3108,12.2379,13.2376,3.2202,4.4158,6.0423,23.9334,4.4325,2.4999,26.6919,6.9091,4.8781,6.5662,DnaJ protein ERDJ3B,sp|Q9LZK5|DNJ19_ARATH,DnaJ-like protein ,Solyc02g077670.3.1,pathogen-associated molecular pattern dependent induction by symbiont of host innate immune response [GO:0052033]; protein folding [GO:0006457]
NITAB029780.1,0.9011,0.6292,8.3701,14.9395,1.1277,0.9690,17.6312,22.9000,0.3305,0.7040,4.6904,9.7203,0.4283,1.0159,5.6600,19.0363,Histone H3.2,sp|Q76MV0|H32_TOBAC,Histone H3 ,Solyc10g008910.1.1,0
NITAB029802.1,9.8750,177.2757,108.2572,66.2229,16.4184,23.3561,17.0551,31.3474,5.3906,20.4412,938.6791,29.4461,19.9092,13.7935,30.7404,84.0248,#N/A,#N/A,P-loop containing nucleoside triphosphate hydrolases superfamily protein ,Solyc03g033820.1.1,#N/A
NITAB029803.1,8209.0453,6864.5162,19070.1595,13403.5794,4446.8613,4180.6020,11183.6884,13613.3217,6853.5928,9527.2625,35508.9296,22634.4403,5914.4567,7388.8658,21525.3161,8775.5173,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB029804.1,0.6005,0.5485,8.2318,16.7971,0.6313,1.1168,13.5728,15.2731,0.4384,2.0834,6.5403,9.2780,0.6530,0.8851,6.3710,14.8371,UDP-glucose 6-dehydrogenase 1,sp|Q96558|UGDH1_SOYBN,UDP-glucose 6-dehydrogenase family protein ,Solyc02g067080.3.1,glycosaminoglycan biosynthetic process [GO:0006024]; UDP-glucuronate biosynthetic process [GO:0006065]
NITAB029812.1,1783.1340,5103.6241,7138.1510,4383.9050,1023.9450,952.4054,2864.3325,3456.2709,1527.2900,2025.8622,20534.2083,5168.2255,1374.8523,1599.2297,5609.5840,4168.5351,Taxoid 14-beta-hydroxylase,sp|Q84KI1|T14H_TAXCU,#N/A,#N/A,oxidation-reduction process [GO:0055114]; paclitaxel biosynthetic process [GO:0042617]; paclitaxel metabolic process [GO:0042616]
NITAB029813.1,1.2906,0.5721,13.8147,16.5974,0.9334,0.2243,33.6478,29.9471,1.0219,1.1703,4.9776,35.1869,0.5179,2.0877,30.5473,29.3862,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB029822.1,0.0822,0.2039,5.1053,9.8289,0.0781,0.2769,3.0185,5.8993,0.0631,0.4490,2.7874,4.4041,0.2170,0.2286,3.2685,7.3679,#N/A,#N/A,Importin subunit alpha ,Solyc01g060470.3.1,#N/A
NITAB029825.1,0.0706,0.1693,23.7067,45.1225,0.2917,0.1355,29.3328,32.9323,0.1421,0.1245,23.7810,22.2212,0.1346,0.1913,16.6737,29.1567,Probable cellulose synthase A catalytic subunit 1 [UDP-forming],sp|A2Y0X2|CESA1_ORYSI,cellulose synthase family protein ,Solyc02g072240.3.1,cellulose biosynthetic process [GO:0030244]; cell wall organization [GO:0071555]
NITAB029857.1,0.0173,0.0045,5.8163,14.5975,0.0762,0.0072,8.7812,17.4264,0.0138,0.0176,3.5867,9.5770,0.0227,0.0301,4.7989,15.4899,GDSL esterase/lipase At2g19010,sp|O65921|GDL35_ARATH,"Lipase, GDSL ",Solyc02g071700.3.1,lipid catabolic process [GO:0016042]
NITAB029891.1,0.0810,0.0240,0.7725,1.9435,0.1043,0.1268,2.4185,3.4952,0.0633,0.0854,0.2599,0.9960,0.0805,0.0000,0.3007,1.4095,Arabinogalactan peptide 12,sp|Q9LJD9|AGP12_ARATH,#N/A,#N/A,0
NITAB029956.1,0.0215,0.0541,5.7653,9.7752,0.0456,0.0578,9.6609,11.0443,0.0195,0.0536,3.6873,5.4123,0.0281,0.0799,3.8775,9.3676,#N/A,#N/A,Sec14p-like phosphatidylinositol transfer family protein ,Solyc02g070210.3.1,#N/A
NITAB029999.1,0.1096,0.0545,3.2626,4.8226,0.0712,0.0760,2.0551,3.0053,0.2011,0.2010,2.1862,3.4036,0.2388,0.0986,3.4952,4.9842,Probable DEAD-box ATP-dependent RNA helicase 48,sp|Q9C8S9|RH48_ARATH,#N/A,#N/A,0
NITAB030092.1,0.0000,0.0248,1.4148,2.4164,0.0590,0.0107,3.4385,2.4053,0.0149,0.0072,1.1177,1.3029,0.0195,0.0321,0.8641,2.9049,Protein EXORDIUM-like 7,sp|O82176|EXOL7_ARATH,Phosphate-responsive 1 family protein ,Solyc02g068877.1.1,0
NITAB030213.1,1.5173,1.0965,2.3895,1.2304,1.6743,1.6178,1.7369,1.3928,2.1719,1.3167,2.5118,2.0716,1.8075,1.4297,3.3201,1.6505,#N/A,#N/A,DUF241 domain protein ,Solyc02g083120.2.1,#N/A
NITAB030304.1,0.4669,0.2180,17.3721,32.4912,0.3869,0.4040,19.8706,23.6132,0.2078,0.2544,16.1229,17.7063,0.3340,0.9053,12.5556,23.9994,Cytochrome P450 84A1,sp|Q42600|C84A1_ARATH,Cytochrome P450 family protein ,Solyc02g084570.3.1,lignin biosynthetic process [GO:0009809]; phenylpropanoid biosynthetic process [GO:0009699]; response to UV-B [GO:0010224]
NITAB030305.1,0.0176,0.0177,6.7921,5.0989,0.0157,0.0407,4.2592,4.5802,0.0880,0.1865,6.4333,4.8889,0.3327,0.0233,5.3785,4.4813,#N/A,#N/A,LOB domain-containing protein ,Solyc02g085910.3.1,#N/A
NITAB030383.1,3.0872,4.7203,7.3622,31.2548,2.4952,7.3609,7.8701,40.5807,1.5042,11.4626,4.7314,24.6662,2.3710,9.0260,9.1042,25.3785,"Allene oxide cyclase 3, chloroplastic",sp|Q9LS01|AOC3_ARATH,allene oxide cyclase,Solyc02g085730.3.1,jasmonic acid biosynthetic process [GO:0009695]; response to fungus [GO:0009620]; response to salt stress [GO:0009651]
NITAB030409.1,0.0066,0.0000,2.3436,3.2951,0.0048,0.0090,5.3188,4.7107,0.0045,0.0191,1.1528,3.9954,0.0110,0.0440,1.3033,4.8392,Peroxidase 49,sp|O23237|PER49_ARATH,Peroxidase ,Solyc02g084780.3.1,hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]
NITAB030410.1,12.4342,7.0561,25.9490,7.9135,9.1724,10.1582,8.0816,3.5392,30.5789,18.2824,24.8290,7.4276,37.7126,5.5574,34.5590,7.4457,Dehydrin Rab15,sp|Q00742|DHR15_WHEAT,Dhn1 protein ,Solyc02g084840.3.1,response to water [GO:0009415]
NITAB030458.1,0.4900,0.3451,5.2561,9.7328,0.4231,0.5080,3.4016,5.5201,0.9331,0.7289,2.2369,4.6010,0.8206,0.2818,3.7779,7.8622,#N/A,#N/A,DUF4228 domain protein ,Solyc02g091180.1.1,#N/A
NITAB030511.1,1.0878,0.5720,6.3620,7.8164,1.3305,1.2709,11.3000,11.9892,0.2763,0.5835,3.1470,6.3047,0.4132,2.0440,3.8370,8.9772,Pathogenesis-related protein PR-1,sp|Q40374|PR1_MEDTR,Pathogenesis-related family protein ,Solyc07g006700.1.1,defense response [GO:0006952]; response to biotic stimulus [GO:0009607]
NITAB030520.1,0.5119,0.4868,2.4970,3.7922,0.5640,0.6692,4.0493,5.8112,0.4581,0.3433,1.6393,2.1723,0.4873,0.6659,2.1223,4.8551,Protein GLUTAMINE DUMPER 3,sp|Q9FHH5|GDU3_ARATH,glutamine dumper 3 ,Solyc07g006600.1.1,amino acid transport [GO:0006865]; modulation by virus of host morphology or physiology [GO:0019048]; regulation of amino acid export [GO:0080143]; response to virus [GO:0009615]; secretion by cell [GO:0032940]
NITAB030545.1,0.3165,1.9166,2.8865,9.3415,0.1320,1.1107,0.6592,6.9617,0.1846,0.7197,0.3516,5.0473,0.1663,1.0714,1.0225,3.6258,Putative F-box protein PP2-B12,sp|Q9FLU7|P2B12_ARATH,F-box protein PP2 ,Solyc05g053620.3.1,0
NITAB030550.1,0.0260,0.1323,2.3440,3.4920,0.1902,0.1399,5.1213,7.6939,0.0552,0.0053,1.5429,2.2209,0.0312,0.1607,3.0867,2.3651,Flower-specific defensin,sp|Q8GTM0|DEF_NICAL,Defensin-like protein ,Solyc07g006380.3.1,defense response to fungus [GO:0050832]; killing of cells of other organism [GO:0031640]
NITAB030595.1,0.1371,0.1568,30.8103,55.0399,0.2300,0.1621,37.3125,39.0269,0.1257,0.1575,33.7007,27.9415,0.1976,0.2338,22.6971,34.6104,Cellulose synthase A catalytic subunit 9 [UDP-forming],sp|A2Z1C8|CESA9_ORYSI,Cellulose synthase ,Solyc07g005840.2.1,cellulose biosynthetic process [GO:0030244]; cell wall organization [GO:0071555]; plant-type secondary cell wall biogenesis [GO:0009834]
NITAB030597.1,0.0000,0.0000,0.7562,2.7845,0.0000,0.0000,0.5139,1.3211,0.0000,0.0000,0.6011,0.9691,0.0000,0.0000,0.2188,0.8052,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB030667.1,0.3174,1.1741,0.4308,0.3341,0.2020,0.8028,0.6383,3.0570,0.2937,0.3821,0.2510,0.5508,0.1134,0.1849,0.1900,0.5941,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB030739.1,4.7986,3.8696,17.4198,22.7094,5.3501,7.5490,30.2062,36.9540,4.3623,3.6309,8.7443,12.6065,3.6350,6.8742,12.8512,33.7572,Defensin J1-2,sp|O65740|DEF2_CAPAN,Defensin ,Solyc04g008470.3.1,defense response to fungus [GO:0050832]; killing of cells of other organism [GO:0031640]
NITAB030826.1,0.0000,0.0041,0.9315,4.1998,0.0063,0.0014,1.2284,5.1824,0.0066,0.0087,1.3910,5.3325,0.0105,0.0042,2.2996,3.7167,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB030857.1,6.0685,7.3555,16.1456,28.1980,7.9845,7.3608,21.2056,21.4786,6.3377,6.3485,15.7897,15.3442,5.9491,8.4427,11.9981,19.9993,Pyrophosphate-energized vacuolar membrane proton pump,sp|Q06572|AVP_HORVU,vacuolar-type H+-pyrophosphatase,Solyc07g007600.3.1,proton transmembrane transport [GO:1902600]
NITAB030866.1,1.1052,1.0029,1.4793,4.7289,1.0538,1.8548,2.4716,6.3667,0.6199,1.8430,1.2087,3.5152,0.7416,2.0016,1.5012,4.8079,Chloride channel protein CLC-b,sp|P92942|CLCB_ARATH,Chloride channel protein ,Solyc07g007690.3.1,chloride transmembrane transport [GO:1902476]; nitrate transport [GO:0015706]; regulation of ion transmembrane transport [GO:0034765]; response to nitrate [GO:0010167]
NITAB030906.1,39.9070,34.4828,659.6966,639.9749,30.8965,35.9983,751.8390,755.2944,5.8667,8.0804,271.8050,183.4113,33.6843,47.6552,488.9615,738.6317,Defensin-like protein P322,sp|P20346|DF322_SOLTU,Defensin protein ,Solyc07g007750.3.1,defense response to fungus [GO:0050832]; killing of cells of other organism [GO:0031640]
NITAB030913.1,0.0581,0.0904,0.4939,1.7753,0.0822,0.2398,1.4066,1.6886,0.0125,0.0161,0.5692,0.6840,0.0807,0.3083,0.1654,1.1025,#N/A,#N/A,C2 calcium/lipid-binding plant phosphoribosyltransferase family protein ,Solyc11g022400.1.1,#N/A
NITAB031035.1,656.7933,681.5396,754.0950,611.7835,178.5322,512.7525,662.1508,1285.5223,803.4137,414.1569,2997.3184,1377.6697,462.4852,1039.6457,939.6687,420.5941,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB031043.1,0.0955,0.0589,17.2372,33.1630,0.1573,0.0624,22.4205,26.1834,0.0738,0.0474,15.3848,16.9344,0.0710,0.1859,12.2001,22.4431,UDP-rhamnose/UDP-galactose transporter 3,sp|Q9FIH5|URGT3_ARATH,Nucleotide/sugar transporter family protein ,Solyc11g069540.2.1,carbohydrate transport [GO:0008643]
NITAB031044.1,3.1531,1.0751,3.6476,2.6883,1.9910,2.6233,3.1291,3.5373,2.2533,3.1129,4.8488,3.8588,3.4028,1.9887,4.9133,3.3332,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB031087.1,0.0071,0.0022,2.5605,0.6338,0.0043,0.0482,0.4826,0.5748,0.1875,0.0139,2.1304,1.4960,0.0073,0.0000,2.6558,0.4897,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB031095.1,0.4184,0.5714,2.3328,4.8536,0.6462,0.6754,3.5725,4.5793,0.3100,0.2890,1.7468,2.4772,0.2323,0.6946,1.5512,3.3890,Proline-rich receptor-like protein kinase PERK4,sp|Q9ZNQ8|PERK4_ARATH,Protein kinase family protein ,Solyc07g018140.3.1,abscisic acid-activated signaling pathway [GO:0009738]; calcium-mediated signaling [GO:0019722]; protein phosphorylation [GO:0006468]; root development [GO:0048364]; seed germination [GO:0009845]
NITAB031194.1,1.6613,2.6440,13.2673,23.2506,5.0094,3.7243,57.9707,27.9410,3.0985,1.5977,12.5206,17.6449,3.8319,3.1580,9.7355,29.0942,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB031208.1,6.0782,12.2857,34.3708,94.9264,4.9561,10.9548,40.6696,81.4162,6.8162,5.4331,26.1088,62.5479,3.3103,7.7202,31.7324,50.4094,Metallocarboxypeptidase inhibitor,sp|P01076|MCPI_SOLLC,Metallocarboxypeptidase inhibitor ,Solyc07g007240.3.1,0
NITAB031217.1,11.6113,13.4255,9.6064,14.7767,13.9940,20.3105,14.5618,15.8497,7.3692,12.4180,4.9200,9.3635,6.4450,23.1849,8.9248,18.7370,Lignin-forming anionic peroxidase,sp|P11965|PERX_TOBAC,LECEVI1A,Solyc01g006300.3.1,hydrogen peroxide catabolic process [GO:0042744]; response to oxidative stress [GO:0006979]
NITAB031222.1,4.2867,2.9608,4.0468,5.0344,4.4064,4.2207,7.0618,7.8380,4.6039,3.2703,3.1733,4.6042,3.7097,3.1136,5.2641,10.9111,Fruit-specific protein,sp|P14903|FSPM_SOLLC,Metallocarboxypeptidase inhibitor ,Solyc05g008150.3.1,0
NITAB031244.1,0.0000,0.0000,0.6477,0.6656,0.0546,0.0000,1.3016,0.8841,0.0029,0.0000,0.1918,2.4155,0.0000,0.0000,0.4705,1.3756,Defensin-like protein 17,sp|Q9FI22|DEF17_ARATH,Defensin-like protein ,Solyc07g009260.3.1,defense response [GO:0006952]; defense response to fungus [GO:0050832]; killing of cells of other organism [GO:0031640]
NITAB031245.1,0.0160,0.0000,2.4078,1.2936,0.0423,0.0379,3.2334,3.0735,0.0041,0.0000,1.4100,8.6486,0.0213,0.0177,1.2901,3.8846,Defensin-like protein 17,sp|Q9FI22|DEF17_ARATH,Defensin-like protein ,Solyc07g009260.3.1,defense response [GO:0006952]; defense response to fungus [GO:0050832]; killing of cells of other organism [GO:0031640]
NITAB031302.1,0.2701,0.0884,3.0833,4.7473,0.0592,0.0267,0.9868,0.9029,0.3011,0.2936,0.6681,1.3463,0.1457,0.0178,1.4435,5.0312,Probable calcium-binding protein CML31,sp|Q8RYK0|CML31_ORYSJ,regulator of gene silencing AY642285,Solyc11g071760.3.1,0
NITAB031304.1,1.1351,0.4210,4.2668,5.8403,0.3629,0.3176,1.6927,2.5810,1.2657,0.5591,1.4349,3.2607,1.2840,0.0177,2.5604,7.6181,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB031319.1,0.1317,0.0749,0.7538,0.7706,0.1025,0.1495,0.4757,0.8601,0.2499,0.1029,0.8613,0.6969,0.2094,0.1578,2.0051,0.9145,#N/A,#N/A,#N/A,#N/A,#N/A
NITAB031381.1,0.5176,0.8270,0.7690,0.7920,0.8492,0.7052,0.5019,0.2751,0.7386,0.8241,0.9462,1.1816,1.0477,0.0245,1.6016,0.6813,#N/A,#N/A,#N/A,#N/A,#N/A
